artist_name,playlist,active,ignore,category,priority
Prefuse 73 feat. Sam Prekop,,,TRUE,,
Preoccupations,Album added to library,,,,1
Prewn,Album added to library,,,,2
Pridjevi,Liked song,,,,2
Priests,post punkish,,,,2
Prins Obi,,,,,
Prolaps,electro,,TRUE,DJ,
Prosthetic Bung,Liked song,,,,2
Protomartyr,Album added to library,,,,1
Psychedelic Porn Crumpets,Album added to library,,,,2
Public Enemy,räps,,,,
Public Image Limited,punk / new wave,,,,
Pulsar One,electro,,TRUE,DJ,
Puma Blue,nikumuss,,,,
Pure X,Album added to library,,,,2
Q Project,electro,,TRUE,DJ,
Quasimoto,,,,,
Quasimoto & Madlib,räps,,TRUE,,
Queen Kwong,Liked song,,,,2
Queens of the Stone Age,Liked song,,,,2
R. Stevie Moore,Album added to library,,,,2
R.A.P. Ferreira,räps,,,,
Radiohead,Liked song,,,,2
Ramin Djawadi,Album added to library,,,,2
Ratkiller,Album added to library,,,,2
raudie,Album added to library,,,,2
Ravi Shankar,Album added to library,FALSE,TRUE,,2
Rayland Baxter,Liked song,,,,2
Real Estate,,,,,
Red One,electro,,TRUE,DJ,
Red Snapper,,,,,
Release,metall,,,,
Rene Lavice,electro,,TRUE,DJ,
Renée,Liked song,,,,2
RIP Swirl,tasasem teknohõng,,,DJ,
Riste,bestEST,,,,est
RJD2,,,,,
Roger Eno,tasasem teknohõng,,,DJ,
Roger Waters,Album added to library,,,,2
Romare,tasasem teknohõng; electro,,,DJ,
Roni Size,tasasem teknohõng,,,DJ,
Rory More,,,,,
Rosaceae,tasasem teknohõng,,,DJ,
Rosalie Cunningham,Album added to library,,,,2
Rose Elinor Dougall,Liked collaborator,,,,
Roxy Music,,,,,
Roy Ayers Ubiquity,nikumuss,,,,
Roy Paci & Corleone,Album added to library,,,,2
RUBUR,Album added to library,,,,2
Rush,metall,,,,
Rustin Man,,,,,
Ryuichi Sakamoto,Album added to library,,,,2
Röyksopp,tasasem teknohõng; electro,,,DJ,
Röövel Ööbik,bestEST,,,,est
S.O.D.,prügi,,,,
S.O.D. Stormtroopers of Death,prügi,,,,
S.P.Y,electro,,TRUE,DJ,
Sad Lovers & Giants,punk / new wave,,,,
Sage Francis,räps,,,,
Saint Vitus,Album added to library,,,,2
Sammalhabe,Album added to library,,,,2
Satyricon,Album added to library,,,,2
Seefeel,,,,,
Self Improvement,Album added to library,,,,2
Sepultura,prügi,,,,
Shame,Liked song,,,,1
Shankar,Album added to library,,,,2
Sheer Mag,Liked song,,,,1
Shimon,,,,,
Shopping,post punkish,FALSE,TRUE,,2
Show Me The Body,Liked song,,,,2
Silky Steps,nikumuss,,,,
Sine,tasasem teknohõng,,,DJ,
Sir Robin & The Longbowmen,,,,,
Six Feet Under,,,,,
Skinshape,Liked song,,,,2
Slayer,Album added to library,FALSE,TRUE,,2
Sleaford Mods,Liked song,,,,2
Slift,Album added to library,,,,2
Slint,Album added to library,FALSE,TRUE,,2
Slow Pulp,post punkish,,,,2
slowthai,räps,,,,
Small Faces,Liked song,FALSE,TRUE,,2
Smashing Pumpkins,,,,,
Smith Westerns,,FALSE,TRUE,,
Snailmate,post punkish,,,,2
Snapped Ankles,Album added to library,,,,1
Sneaker Pimps,,,,,
So Much Time,,,,,
Soccer Mommy,Album added to library,,,,2
Soft Hair,Album added to library,,,,2
SOFT PLAY,post punkish,,,,2
Somali Yacht Club,metall,,,,
Sonic Youth,Liked song,FALSE,TRUE,,2
Soul Intent,,,,,
Soundgarden,metall,FALSE,TRUE,,
Sparks,Album added to library,,,,2
Special Interest,post punkish,,,,2
